,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
5668,5668,False,False,"Guadalajara, Jal. Mexico",460,1652,7059,6
5669,5669,False,False,,7,197,1,0
5670,5670,False,False,,0,93,0,0
5671,5671,True,False,,20,135,4,0
5672,5672,True,False,,0,12,0,0
5673,5673,False,False,,15,277,29,0
5674,5674,False,False,,0,16,0,0
5675,5675,True,False,,0,15,30,0
5676,5676,False,False,,18,410,938,0
5677,5677,False,False,,0,284,1,0
5678,5678,False,False,,0,6,0,0
5679,5679,False,False,"Guadalajara, Jalisco",61,861,117,0
5680,5680,False,False,,0,71,42,0
5681,5681,False,False,,3,24,189,0
5682,5682,False,False,,0,22,0,0
5683,5683,True,False,,0,11,0,0
5684,5684,False,False,,0,16,0,0
5685,5685,False,False,,0,34,0,0
5686,5686,True,False,,0,57,0,0
5687,5687,False,False,,1,11,1,0
5688,5688,True,False,,0,97,0,0
5689,5689,False,False,,1,19,5,0
5690,5690,False,False,,0,18,0,0
5691,5691,False,False,,7,99,70,0
5692,5692,False,False,,2,259,0,0
5693,5693,False,False,,0,34,0,0
5694,5694,False,False,ACAPULCO GUERRERO,200,1114,1522,0
5695,5695,True,False,,0,1,0,0
5696,5696,False,False,,290,523,1397,1
5697,5697,False,False,,0,75,4,0
5698,5698,True,False,,0,9,3,0
5699,5699,False,False,Mexiko Stadt,33,680,783,0
5700,5700,False,False,Tijuana ,33791,36978,71951,99
5701,5701,True,False,,0,71,0,0
5702,5702,False,False,Ciudad De México,2,17,51,0
5703,5703,False,False,,0,30,0,0
5704,5704,True,False,,0,21,0,0
5705,5705,True,False,,4,6,3,0
5706,5706,False,False,,2,23,8,0
5707,5707,False,False,,2,116,261,0
5708,5708,True,False,,0,8,1,0
5709,5709,False,False,,6,140,18,0
5710,5710,False,False,,0,9,0,0
5711,5711,False,False,,0,4,2,0
5712,5712,False,False,,9,199,5,0
5713,5713,False,False,,0,104,4,0
5714,5714,False,False,,225,285,158,4
5715,5715,False,False,,0,8,0,0
5716,5716,True,False,Coacalco de Berriozábal,8,60,379,0
5717,5717,False,False,,4,132,0,0
5718,5718,False,False,,2,48,0,0
5719,5719,False,False,,0,111,6,0
